ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,ThumbnailPhotoFileName,rowguid,ModifiedDate
680,"HL Road Frame - Black, 58",FR-R92B-58,Black,1059.31,1431.5,58,1016.04,18,6,2002-01-06 00:00,,,no_image_available_small.gif,43DD68D6-14A4-461F-9069-55309D90EA7E,11/03/2008 10:01
706,"HL Road Frame - Red, 58",FR-R92R-58,Red,1059.31,1431.5,58,1016.04,18,6,2002-01-06 00:00,,,no_image_available_small.gif,9540FF17-2712-4C90-A3D1-8CE5568B2462,11/03/2008 10:01
707,"Sport-100 Helmet, Red",HL-U509-R,Red,13.0863,34.99,,,35,33,2005-01-07 00:00,,,no_image_available_small.gif,2E1EF41A-C08A-4FF6-8ADA-BDE58B64A712,11/03/2008 10:01
708,"Sport-100 Helmet, Black",HL-U509,Black,13.0863,34.99,,,35,33,2005-01-07 00:00,,,no_image_available_small.gif,A25A44FB-C2DE-4268-958F-110B8D7621E2,11/03/2008 10:01
709,"Mountain Bike Socks, M",SO-B909-M,White,3.3963,9.5,M,,27,18,2005-01-07 00:00,2006-30-06 00:00,,no_image_available_small.gif,18F95F47-1540-4E02-8F1F-CC1BCB6828D0,11/03/2008 10:01
710,"Mountain Bike Socks, L",SO-B909-L,White,3.3963,9.5,L,,27,18,2005-01-07 00:00,2006-30-06 00:00,,no_image_available_small.gif,161C035E-21B3-4E14-8E44-AF508F35D80A,11/03/2008 10:01
711,"Sport-100 Helmet, Blue",HL-U509-B,Blue,13.0863,34.99,,,35,33,2005-01-07 00:00,,,no_image_available_small.gif,FD7C0858-4179-48C2-865B-ABD5DFC7BC1D,11/03/2008 10:01
712,AWC Logo Cap,CA-1098,Multi,6.9223,8.99,,,23,2,2005-01-07 00:00,,,no_image_available_small.gif,B9EDE243-A6F4-4629-B1D4-FFE1AEDC6DE7,11/03/2008 10:01
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,Multi,38.4923,49.99,S,,25,11,2005-01-07 00:00,,,awc_jersey_male_small.gif,FD449C82-A259-4FAE-8584-6CA0255FAF68,11/03/2008 10:01
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Multi,38.4923,49.99,M,,25,11,2005-01-07 00:00,,,awc_jersey_male_small.gif,6A290063-A0CF-432A-8110-2EA0FDA14308,11/03/2008 10:01
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,Multi,38.4923,49.99,L,,25,11,2005-01-07 00:00,,,awc_jersey_male_small.gif,34CF5EF5-C077-4EA0-914A-084814D5CBD5,11/03/2008 10:01
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Multi,38.4923,49.99,XL,,25,11,2005-01-07 00:00,,,awc_jersey_male_small.gif,6EC47EC9-C041-4DDA-B686-2125D539CE9B,11/03/2008 10:01
717,"HL Road Frame - Red, 62",FR-R92R-62,Red,868.6342,1431.5,62,1043.26,18,6,2005-01-07 00:00,,,no_image_available_small.gif,052E4F8B-0A2A-46B2-9F42-10FEBCFAE416,11/03/2008 10:01
718,"HL Road Frame - Red, 44",FR-R92R-44,Red,868.6342,1431.5,44,961.61,18,6,2005-01-07 00:00,,,no_image_available_small.gif,A88D3B54-2CAE-43F2-8C6E-EA1D97B46A7C,11/03/2008 10:01
